gu,gubun,type,location,manage
서울특별시 성북구,보건소,완전개방형,성북구보건소 10층 옥상,성북구보건소
서울특별시 성북구,청사,개방형,성북구청 12층 옥상,성북구청
서울특별시 성북구,청사,개방형,성북구청 5층 휴게공간,성북구청
서울특별시 성북구,의료기관,완전폐쇄형,고려대학교 안암병원출입구 앞 통행로,고대병원
서울특별시 성북구,의료기관,개방형,성북중앙병원 옥상,성북중앙병원
서울특별시 성북구,대학교,개방형,국민대학교 북악관 뒤,국민대학교
서울특별시 성북구,대학교,개방형,국민대학교 도서관 옆,국민대학교
서울특별시 성북구,대학교,폐쇄형,서경대 북악관 앞,서경대학교
서울특별시 성북구,대학교,폐쇄형,한성대학교 학송관 옆,한성대학교
서울특별시 성북구,대규모점포,폐쇄형,현대백화점 미아점 옥상,현대백화점
서울특별시 성북구,대규모점포,완전폐쇄형,이마트 미아점 주차동 1층,이마트
서울특별시 성북구,대규모점포,개방형,유타몰 뒤,유타몰
서울특별시 성북구,음식점,완전폐쇄형,밀르몽 옥상,밀르몽
서울특별시 성북구,음식점,개방형,삼청각 한식당 주차장 뒤,삼청각 한식당
