자치구,설치위치,운영관리
서울틀별시 강서구,화곡로 302 강서구청 주차장 뒤편,강서구청
서울틀별시 강서구,우장산로 66 강서구민회관 1층,강서구시설관리공단
서울틀별시 강서구,공항대로 213 보타닉 파크타워 옥상,마곡보타닉파크타워
서울틀별시 강서구,마곡중앙8로 3길 79 옥상,FITI 시험연구원
서울틀별시 강서구,마곡중앙8로 1길 62 옥상,(주)라파스
서울틀별시 강서구,마곡중앙8로 3길 53 옥상,메인텍
서울틀별시 강서구,강서로 443 마곡대명투웨니퍼스트 옥상,마곡대명투웨니퍼스트
서울틀별시 강서구,강서로 449 벨리오 오피스텔 옥상,벨리오 오피스텔
서울틀별시 강서구,마곡서로 170 1층  후문,마곡시티 오피스텔
서울틀별시 강서구,마곡중앙5로 1길 25 1층 후문,마곡헤리움 시티2차
서울틀별시 강서구,마곡중앙 8로 1길 16 1층 2곳,웰스바이오㈜
서울틀별시 강서구,강서구 마곡중앙로 201 주차장 옆,롯데중앙연구소
서울틀별시 강서구,마곡중앙로 150 옥상,에스앤아이 강서(디엔오)
서울틀별시 강서구,양천로 251 마곡실내배드민턴장 1층 추자창 뒤편,강서구시설관리공단
서울틀별시 강서구,하늘길 233 골프연습장,영업주체(쇼골프)
서울틀별시 강서구,마곡중앙6로 65 지투프라자 3층,영업주체(엘피빠까페서울)
서울틀별시 강서구,마곡중앙6로 69 3층,영업주체(다옴)
서울틀별시 강서구,"하늘길 111, 김포공항화물청사 1층 옥외의 일부",영업주체(공항공사)
서울틀별시 강서구,"하늘길 38, 김포공항국제선 옥외의 일부",영업주체(공항공사)
서울틀별시 강서구,"하늘길 111, 김포공항국내선 옥외의 일부",영업주체(공항공사)
