자치구,설치위치,운영관리
서울특별시 구로구,"서울특별시 구로구 경인로 430, 고척 돔구장"
서울특별시 구로구,"서울특별시 구로구 경인로 427, 구로성심병원"
서울특별시 구로구,"서울특별시 구로구 구로동로 148, 고대구로병원"
서울특별시 구로구,"서울특별시 구로구 디지털로 243, 지하이시티"
서울특별시 구로구,"서울특별시 구로구 디지털로 288, 대륭포스트타워 1차"
서울특별시 구로구,"서울특별시 구로구 디지털로 306, 대륭포스트타워 2차"
서울특별시 구로구,"서울특별시 구로구 디지털로34길 27, 대륭포스트타워 3차",
서울특별시 구로구,"서울특별시 구로구 디지털로32길 30, 코오롱싸이언스밸리 2차"
서울특별시 구로구,"서울특별시 구로구 디지털로33길 27, 삼성아이티밸리"
서울특별시 구로구,"서울특별시 구로구 디지털로34길 55, 코오롱싸이언스밸리 2차"
서울특별시 구로구,"서울특별시 구로구 디지털로33길 28, 우림이비지센터 1차"
서울특별시 구로구,"서울특별시 구로구 디지털로33길 55, 이엔씨벤쳐드림타워 2차"
서울특별시 구로구,"서울특별시 구로구 디지털로31길 19, 에이스테크노타워 2차"
서울특별시 구로구,"서울특별시 구로구 디지털로29길 38, 에이스테크노타워 3차"
서울특별시 구로구,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워 1차"
서울특별시 구로구,"서울특별시 구로구 디지털로32길 29, JNK 디지털타워"
서울특별시 구로구,"서울특별시 구로구 디지털로26길 123, 지플러스(G+)타워"
서울특별시 구로구,"서울특별시 구로구 새말로 97 북서쪽 철로변측 인도공간, 신도림테크노마트"
서울특별시 구로구,"서울특별시 구로구 새말로 117-21 신도림역 2번출구, 신도림역"
