자치구,설치위치,운영관리
서울특별시 중랑구,서울특별시 중랑구 봉화산로 179(신내동),지방자치단체 청사
서울특별시 중랑구,서울특별시 중랑구 동일로 619(면목동),면목5동
서울특별시 중랑구,서울특별시 중랑구 신내로 156,서울의료원
서울특별시 중랑구,서울특별시 중랑구 사가정로49길 53,녹색병원
서울특별시 중랑구,서울특별시 중랑구 망우로 418,서울정형외과
서울특별시 중랑구,서울특별시 중랑구 망우로 403,위너스병원
서울특별시 중랑구,서울특별시 중랑구 망우로 182(상봉동),서울시체육회
서울특별시 중랑구,서울특별시 중랑구 동일로 862,한국전력
서울특별시 중랑구,서울특별시 중랑구 중랑천로 71,서울우유
서울특별시 중랑구,서울특별시 중랑구 망우로 418,삼부빌딩
서울특별시 중랑구,서울특별시 중랑구 면목로 470,대상빌딩
서울특별시 중랑구,서울특별시 중랑구 용마산로90길 28,서일대
서울특별시 중랑구,서울특별시 중랑구 망우로 353,이노씨티
서울특별시 중랑구,서울특별시 중랑구 망우로 399,하이마트
서울특별시 중랑구,서울특별시 중랑구  면목동 359-15번지 지하1층 ,사이버캡틴PC방
서울특별시 중랑구,서울특별시 중랑구  면목동 176-11번지 1층 ,푸른공간
서울특별시 중랑구,서울특별시 중랑구  중화동 316-1번지 지하1층 ,매직엔PC방
서울특별시 중랑구,서울특별시 중랑구  면목동 665-3번지 ,i7 PC방
서울특별시 중랑구,서울특별시 중랑구  상봉동 115-20번지 ,스타포스PC방
서울특별시 중랑구,서울특별시 중랑구  망우동 147-21번지 지상2층 ,집피씨클럽
서울특별시 중랑구,서울특별시 중랑구  중화동 314-1번지 지하1층 ,메트로PC방
서울특별시 중랑구,서울특별시 중랑구  망우동 487-17번지 지하1층 ,하이넷PC
서울특별시 중랑구,서울특별시 중랑구  묵동 244-140번지 지상3층 ,스피드넷PC방
서울특별시 중랑구,서울특별시 중랑구  신내동 454-4번지 지상3층 ,누리터PC방
서울특별시 중랑구,서울특별시 중랑구  면목동 399-36번지 지상2층 ,WAAPC방
