자치구,설치위치,운영관리
서울특별시 양천구,양천구청 부지,양천구청
서울특별시 양천구,해누리타운 4층 옥외정원,양천구청
서울특별시 양천구,양천경찰서 부지,양천경찰서
서울특별시 양천구,남부지방법원 후문 옆,남부지방법원
서울특별시 양천구,양천세무서 부지 우측,양천세무서
서울특별시 양천구,서울시 출입국관리사무소 부지,출입국관리사무소
서울특별시 양천구,법무복지공단 부지,법무복지공단
서울특별시 양천구,이대목동병원 부지,이대목동병원
서울특별시 양천구,홍익병원 옥상,홍익병원
서울특별시 양천구,서남병원 부지,서남병원
서울특별시 양천구,현대백화점 4층,현대백화점
서울특별시 양천구,방송회관 7층,방송회관
서울특별시 양천구,상운맘모스빌딩 옥상,상운맘모스빌딩
서울특별시 양천구,양천벤처타운 부지,양천벤처타운 
서울특별시 양천구,현대41타워 부지,현대41타워
서울특별시 양천구,SBS 부지,SBS
서울특별시 양천구,KT 목동타워 부지,KT 목동타워
서울특별시 양천구,KT 정보센터 부지,KT 정보센터
서울특별시 양천구,목동아이스링크 부지,목동아이스링크
서울특별시 양천구,메디컬센터 옥상,메디컬센터
서울특별시 양천구,양천차고지 1층,양천차고지
서울특별시 양천구,현대드림타워 후문 부지,현대드림타워
서울특별시 양천구,부영그린타운 3차 부지,부영그린타운 3차
