자치구,설치위치,운영관리
서울특별시 영등포구,한강프리젠,건물관리자
서울특별시 영등포구,프리가,건물관리자
서울특별시 영등포구,에이스 테크노타워,건물관리자
서울특별시 영등포구,고려빌딩,건물관리자
서울특별시 영등포구,리버타워오피스텔,건물관리자
서울특별시 영등포구,금강빌딩,건물관리자
서울특별시 영등포구,두일빌딩,건물관리자
서울특별시 영등포구,영등포아트자이아파트,건물관리자
서울특별시 영등포구,데시잉루브,건물관리자
서울특별시 영등포구,금산빌딩,건물관리자
서울특별시 영등포구,홍진빌딩,건물관리자
서울특별시 영등포구,리앤나빌리지,건물관리자
서울특별시 영등포구,중앙빌딩,건물관리자
서울특별시 영등포구,JB빌딩,건물관리자
서울특별시 영등포구,금융투자센터빌딩,건물관리자
서울특별시 영등포구,아이에스비즈타워 1차,건물관리자
서울특별시 영등포구,LG트윈타워빌딩,건물관리자
서울특별시 영등포구,오성빌딩,건물관리자
서울특별시 영등포구,토산빌딩,건물관리자
서울특별시 영등포구,도림시장㈜,건물관리자
서울특별시 영등포구,우림이비지센터,건물관리자
서울특별시 영등포구,제일빌딩,건물관리자
서울특별시 영등포구,에이스하이테크시티2,건물관리자
서울특별시 영등포구,에이스하이테크시티,건물관리자
서울특별시 영등포구,SK V1 center,건물관리자
서울특별시 영등포구,아이에스비즈타워 2차,건물관리자
서울특별시 영등포구,은석 오피스텔,건물관리자
서울특별시 영등포구,하나비즈타워,건물관리자
서울특별시 영등포구,유성빌딩,건물관리자
서울특별시 영등포구,대륭빌딩,건물관리자
서울특별시 영등포구,태양빌딩,건물관리자
서울특별시 영등포구,백상빌딩,건물관리자
서울특별시 영등포구,센터플러스,건물관리자
서울특별시 영등포구,"선유도우림아이온스밸리 A,B동",건물관리자
서울특별시 영등포구,금강펜테리움IT타워,건물관리자
서울특별시 영등포구,타원벨라움,건물관리자
서울특별시 영등포구,데시앙루브,건물관리자
서울특별시 영등포구,문래임광그대가,건물관리자
서울특별시 영등포구,양평 이노플렉스,건물관리자
서울특별시 영등포구,삼성타운,건물관리자
서울특별시 영등포구,한서리버파크,건물관리자
서울특별시 영등포구,트리플렉스,건물관리자
서울특별시 영등포구,아라비즈타워,건물관리자
서울특별시 영등포구,에이스테크노타워,건물관리자
서울특별시 영등포구,선유로코오롱디지털타워,건물관리자
서울특별시 영등포구,한양아이크랠스,건물관리자
서울특별시 영등포구,양평우림보보카운티,건물관리자
서울특별시 영등포구,하우스디비즈 지식산업센터,건물관리자
서울특별시 영등포구,홍우빌딩,건물관리자
서울특별시 영등포구,가든빌딩,건물관리자
서울특별시 영등포구,삼성 코코빌,건물관리자
서울특별시 영등포구,정우빌딩,건물관리자
서울특별시 영등포구,월드메르디앙비즈센터,건물관리자
서울특별시 영등포구,맨하탄빌딩,건물관리자
서울특별시 영등포구,NH투자증권본사,시설관리자
서울특별시 영등포구,코레일유통,시설관리자
서울특별시 영등포구,한국우편사업진흥원,시설관리자
서울특별시 영등포구,대림중앙시장,영등포구
서울특별시 영등포구,여의도 한화증권 앞,한국일보-영등포구
서울특별시 영등포구,여의도 오투타워 앞,한국일보-영등포구
서울특별시 영등포구,여의도 한화손해빌딩 앞,한국일보-영등포구
서울특별시 영등포구,한국교직원공제회관 앞,한국일보-영등포구
서울특별시 영등포구,여의도역3번출구 뒤쪽,한국일보-영등포구
서울특별시 영등포구,상희익스콘벤터타워 1,한국일보-영등포구
서울특별시 영등포구,상희익스콘벤터타워 2,한국일보-영등포구
서울특별시 영등포구,한국투자증권 앞,한국일보-영등포구
서울특별시 영등포구,한국거래소 앞1,한국일보-영등포구
서울특별시 영등포구,한국거래소 앞2,한국일보-영등포구
