자치구명,설치위치,운영관리
서울특별시 용산구,서울특별시 용산구 서울역 광장 15번출구,한국철도공사
서울특별시 용산구,서울특별시 용산구 서울역 광장 1번출구,한국철도공사
서울특별시 용산구,서울특별시 용산구 용산역 광장,현대아이파크몰
서울특별시 용산구,서울특별시 용산구 용산구청 옥상,용산구청
서울특별시 용산구,서울특별시 용산구 용산구청 2층 외부,용산구청
서울특별시 용산구,서울특별시 용산구 용산경찰서 1층 외부,용산경찰서
서울특별시 용산구,서울특별시 용산구 원효지구대 방범순찰대(옛 용산구청),원효지구대 방법순찰대
서울특별시 용산구,서울특별시 용산구 서울지방보훈청 실외,서울지방보훈청
서울특별시 용산구,서울특별시 용산구 용산세무서 1층 외부,용산세무서
서울특별시 용산구,서울특별시 용산구 국방부 컨벤스 1층 외부,국방부
서울특별시 용산구,서울특별시 용산구 순천향대학교 서울병원 장례식장 외부,순천향대학교병원
서울특별시 용산구,서울특별시 용산구 순천향대학교 서울병원 신관 옥상,순천향대학교병원
서울특별시 용산구,서울특별시 용산구 1층 외부 주차장 가는길 휴식장소,하얏트호텔
서울특별시 용산구,서울특별시 용산구 아이파크몰 달 주차장 4.5층,현대아이파크몰
서울특별시 용산구,서울특별시 용산구 아이파크몰 해 주차장 4.5층,현대아이파크몰
서울특별시 용산구,서울특별시 용산구 아이파크몰 8층 옥상,현대아이파크몰
서울특별시 용산구,서울특별시 용산구 선인상가 21동 1층 외부,선인상가
서울특별시 용산구,서울특별시 용산구 선인상가 21동 옥상,선인상가
서울특별시 용산구,서울특별시 용산구 1층 공유지,대주아이피아
서울특별시 용산구,서울특별시 용산구 주차장 지하 1층,전자랜드
서울특별시 용산구,서울특별시 용산구 아모레퍼시픽 10층 테라스,아모레퍼시픽
서울특별시 용산구,서울특별시 용산구 제일기획 1층 외부 주차장,제일기획
서울특별시 용산구,서울특별시 용산구 건물 옥상,제이엘레지던스
서울특별시 용산구,서울특별시 용산구 충영빌딩 옥상,충영빌딩
서울특별시 용산구,"서울특별시 용산구 e테크밸리 공개공지, 옥상",G테크밸리
서울특별시 용산구,서울특별시 용산구 삼원빌딩 옥상,삼원빌딩
서울특별시 용산구,서울특별시 용산구 대교빌딩 옥상,대교빌딩
