자치구,설치위치,운영관리
서울특별시 동대문구,레프트커피(경희대로 20) 옥상,레프트커피
서울특별시 동대문구,빅히트스크린야구(이문로 82) 테라스,빅히트 스크린야구
서울특별시 동대문구,천호대로 307 (답십리동) 10층,건물관리자
서울특별시 동대문구,고미술로 100(답십리동) 옥상,건물관리자
서울특별시 동대문구,천호대로 329(답십리동) 1층,건물관리자
서울특별시 동대문구,한천로11길 6(답십리동) 옥상,건물관리자
서울특별시 동대문구,홍릉로 58(청량리동) 1층,건물관리자
서울특별시 동대문구,회기로 47(청량리동) 1층,건물관리자
서울특별시 동대문구,회기로 57(청량리동) 1층,건물관리자
서울특별시 동대문구,왕산로 61(용두동) 옥상,건물관리자
서울특별시 동대문구,왕산로 25(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로 25(신설동) 1층,건물관리자
서울특별시 동대문구,왕산로 21(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로 19(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로 15(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로 4(신설동) 테라스,건물관리자
서울특별시 동대문구,왕산로 117(제기동) 옥상,건물관리자
서울특별시 동대문구,왕산로 127(제기동) 옥상,건물관리자
서울특별시 동대문구,장한로 91(장안동) 1층,건물관리자
서울특별시 동대문구,한천로14길 87(장안동) 1층,건물관리자
서울특별시 동대문구,천호대로 151(용두동) 1층,건물관리자
서울특별시 동대문구,이문로 156(이문동) 옥상,건물관리자
서울특별시 동대문구,이문로 156(이문동) 1층,건물관리자
서울특별시 동대문구,이문로 199(이문동) 1층,건물관리자
서울특별시 동대문구,장한로 40(장안동) 옥상,건물관리자
서울특별시 동대문구,청계천로 447(신설동) 1층,건물관리자
서울특별시 동대문구,난계로28길 23(신설동) 3층,건물관리자
서울특별시 동대문구,난계로 250(신설동) 옥상,건물관리자
서울특별시 동대문구,난계로30길 27(신설동)옥상,건물관리자
서울특별시 동대문구,청계천로 439(신설동) 1층,건물관리자
서울특별시 동대문구,청계천로 447(신설동) 1층,건물관리자
서울특별시 동대문구,왕산로 4(신설동) 옥상,건물관리자
서울특별시 동대문구,천호대로 26(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로6(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로6(신설동) 1층,건물관리자
서울특별시 동대문구,답십리로 303(장안동) 옥상,건물관리자
서울특별시 동대문구,이문로 197(이문동) 1층,건물관리자
서울특별시 동대문구,답십리로 294(장안동) 2층,건물관리자
서울특별시 동대문구,답십리로92길 68(장안동) 1층,건물관리자
서울특별시 동대문구,회기로 123(회기동) 옥상,건물관리자
서울특별시 동대문구,사가정로 229(장안동) 1층,건물관리자
서울특별시 동대문구,한천로46길 2(장안동) 1층,건물관리자
서울특별시 동대문구,답십리로 29(답십리동) 3층,건물관리자
서울특별시 동대문구,답십리로 29(답십리동) 4층,건물관리자
서울특별시 동대문구,답십리로 29(답십리동) 5층,건물관리자
서울특별시 동대문구,회기로 66(청량리동) 1층,건물관리자
서울특별시 동대문구,한천로 272(휘경동) 1층,건물관리자
서울특별시 동대문구,답십리로64길 103(장안동) 1층,건물관리자
서울특별시 동대문구,장한로 47(장안동) 1층,건물관리자
서울특별시 동대문구,이문로 136(이문동) 1층,건물관리자
서울특별시 동대문구,망우로 60(휘경동) 옥상,건물관리자
서울특별시 동대문구,망우로12길 6(휘경동) 1층,건물관리자
서울특별시 동대문구,사가정로 272(장안동) 1층,건물관리자
서울특별시 동대문구,사가정로 203(전농동) 1층,건물관리자
서울특별시 동대문구,천호대로 395 2(장안동) 옥상,건물관리자
서울특별시 동대문구,천호대로 393(장안동) 옥상,건물관리자
서울특별시 동대문구,천호대로 381(장안동) 옥상,건물관리자
서울특별시 동대문구,천호대로 357(장안동) 1층,건물관리자
서울특별시 동대문구,청계천로 439(용두동) 1층,건물관리자
서울특별시 동대문구,왕산로 6(신설동) 1층,건물관리자
서울특별시 동대문구,왕산로 6(신설동) 옥상,건물관리자
서울특별시 동대문구,왕산로 4(신설동) 옥상,건물관리자
서울특별시 동대문구,황물로 60(답십리동) 옥상,건물관리자
서울특별시 동대문구,장한로10길 9(장안동) 1층,건물관리자
서울특별시 동대문구,장한로 120(장안동) 옥상,건물관리자
서울특별시 동대문구,한천로 77(답십리동) 테라스 2층,건물관리자
서울특별시 동대문구,한천로 77(답십리동) 테라스 4층,건물관리자
서울특별시 동대문구,한천로 77(답십리동) 테라스 5층,건물관리자
서울특별시 동대문구,한천로 77(답십리동) 테라스 6층,건물관리자
서울특별시 동대문구,장안벚꽃로 279(휘경동) 1층,건물관리자
서울특별시 동대문구,왕산로 71(용두동) 옥상,건물관리자
서울특별시 동대문구,장한로 22(장안동) 1층,건물관리자
서울특별시 동대문구,천호대로 433(장안동) 1층,건물관리자
서울특별시 동대문구,천호대로 437(장안동) 옥상,건물관리자
서울특별시 동대문구,천호대로 437(장안동) 옥상,건물관리자
서울특별시 동대문구,홍릉로 28(청량리동) 옥상,건물관리자
서울특별시 동대문구,천호대로 444 1(장안동) 옥상,건물관리자
서울특별시 동대문구,장한로2길 62(장안동) 1층,건물관리자
서울특별시 동대문구,회기로 37(청량리동) 1층,건물관리자
서울특별시 동대문구,왕산로 53(용두동) 1층,건물관리자
서울특별시 동대문구,동대문구청(천호대로 145) 1층,동대문구청
서울특별시 동대문구,동대문구청(천호대로 145) 5층,동대문구청
서울특별시 동대문구,동대문구민회관(장한로18길 82 9) 1층,건물관리자
서울특별시 동대문구,동대문소방서(장한로 34) 1층,건물관리자
서울특별시 동대문구,동대문우체국(천호대로 4) 1층,건물관리자
서울특별시 동대문구,서울명병원(고산자로 421) 옥상,서울명병원
서울특별시 동대문구,멘토스병원(한천로 49) 옥상,멘토스병원
서울특별시 동대문구,대한민국정형외과(장한로 200) 1층,대한민국정형외과
서울특별시 동대문구,경희의료원(경희대로 23) 1층,경희의료원
서울특별시 동대문구,브레인요양병원(장한로32길 7) 옥상,브레인요양병원
서울특별시 동대문구,참튼튼병원(답십리로 261) 옥상,참튼튼병원
서울특별시 동대문구,삼육서울병원(망우로 82) 1층,삼육서울병원
서울특별시 동대문구,동부시립병원(무학로 124) ,동부시립병원
서울특별시 동대문구,주식회사호텔케이피(회기로 188 5)1층,주식회사 호텔케이피
서울특별시 동대문구,CMS INN.SEOUL(회기로 188 12)옥상,CMS INN.SEOUL
서울특별시 동대문구,더리센츠호텔(천호대로 383) 1층,더리센츠호텔
서울특별시 동대문구,골든씨티호텔(천호대로 377)1층,골든씨티호텔
서울특별시 동대문구,한빛로 12(신설동) 1층,남예종콘서바토리학원
서울특별시 동대문구,래미안엘파인아파트한천로37길 33(답십리동) 1층,래미안엘파인아파트
서울특별시 동대문구,장한로 37(장안동) 1층,건물관리자
서울특별시 동대문구,"장한로2길 33, 2층",장안스피존
서울특별시 동대문구,"장한로2길 33, 3층",장안스피존
서울특별시 동대문구,"장한로2길 33, 4층",장안스피존
서울특별시 동대문구,"장한로2길 33, 5층",장안스피존
서울특별시 동대문구,"장한로2길 33, 5층",장안스피존
서울특별시 동대문구,왕산로 214 1층,롯데백화점
서울특별시 동대문구,왕산로 214 3층,롯데백화점
서울특별시 동대문구,왕산로 214 7층 옥상,롯데백화점
서울특별시 동대문구,천호대로 421 옥상,지혜병원
서울특별시 동대문구,장한로6 옥상,장안빌딩
서울특별시 동작구,노량진컵밥거리,보건기획과
서울특별시 강북구,"서울시 강북구 도봉로 242, 청사 뒤",한국전력
서울특별시 강북구,"서울시 강북구 삼각산로 089, 본관과 신관 사이",강북구의회
서울특별시 강북구,"서울시 강북구 오패산로 406, 정문 옆",강북경찰서
서울특별시 강북구,"서울시 강북구 한천로 913, 주차장 옆",서울북부도로사업소
서울특별시 강북구,"서울시 강북구 오현로 145, 주차장 옆",강북문화정보도서관
서울특별시 강북구,"서울시 강북구 덕릉로40길 74, 주차장 옆",강북전자공단
서울특별시 강북구,"서울시 강북구 도봉로 238, 본관 옆",SK텔레콤
서울특별시 강북구,"서울시 강북구 솔샘로 223, 건물 옥상",삼미통산
서울특별시 강북구,"서울시 강북구 도봉로 62, 건물 옥상",롯데백화점
서울특별시 강북구,"서울시 강북구 한천로 1289, 건물 뒤",미즐 카페 엠
서울틀별시 강서구,화곡로 302 강서구청 주차장 뒤편,강서구청
서울틀별시 강서구,우장산로 66 강서구민회관 1층,강서구시설관리공단
서울틀별시 강서구,공항대로 213 보타닉 파크타워 옥상,마곡보타닉파크타워
서울틀별시 강서구,마곡중앙8로 3길 79 옥상,FITI 시험연구원
서울틀별시 강서구,마곡중앙8로 1길 62 옥상,(주)라파스
서울틀별시 강서구,마곡중앙8로 3길 53 옥상,메인텍
서울틀별시 강서구,강서로 443 마곡대명투웨니퍼스트 옥상,마곡대명투웨니퍼스트
서울틀별시 강서구,강서로 449 벨리오 오피스텔 옥상,벨리오 오피스텔
서울틀별시 강서구,마곡서로 170 1층  후문,마곡시티 오피스텔
서울틀별시 강서구,마곡중앙5로 1길 25 1층 후문,마곡헤리움 시티2차
서울틀별시 강서구,마곡중앙 8로 1길 16 1층 2곳,웰스바이오㈜
서울틀별시 강서구,강서구 마곡중앙로 201 주차장 옆,롯데중앙연구소
서울틀별시 강서구,마곡중앙로 150 옥상,에스앤아이 강서(디엔오)
서울틀별시 강서구,양천로 251 마곡실내배드민턴장 1층 추자창 뒤편,강서구시설관리공단
서울틀별시 강서구,하늘길 233 골프연습장,영업주체(쇼골프)
서울틀별시 강서구,마곡중앙6로 65 지투프라자 3층,영업주체(엘피빠까페서울)
서울틀별시 강서구,마곡중앙6로 69 3층,영업주체(다옴)
서울틀별시 강서구,"하늘길 111, 김포공항화물청사 1층 옥외의 일부",영업주체(공항공사)
서울틀별시 강서구,"하늘길 38, 김포공항국제선 옥외의 일부",영업주체(공항공사)
서울틀별시 강서구,"하늘길 111, 김포공항국내선 옥외의 일부",영업주체(공항공사)
서울특별시 구로구,"서울특별시 구로구 경인로 430, 고척 돔구장",
서울특별시 구로구,"서울특별시 구로구 경인로 427, 구로성심병원",
서울특별시 구로구,"서울특별시 구로구 구로동로 148, 고대구로병원",
서울특별시 구로구,"서울특별시 구로구 디지털로 243, 지하이시티",
서울특별시 구로구,"서울특별시 구로구 디지털로 288, 대륭포스트타워 1차",
서울특별시 구로구,"서울특별시 구로구 디지털로 306, 대륭포스트타워 2차",
서울특별시 구로구,"서울특별시 구로구 디지털로34길 27, 대륭포스트타워 3차",
서울특별시 구로구,"서울특별시 구로구 디지털로32길 30, 코오롱싸이언스밸리 2차",
서울특별시 구로구,"서울특별시 구로구 디지털로33길 27, 삼성아이티밸리",
서울특별시 구로구,"서울특별시 구로구 디지털로34길 55, 코오롱싸이언스밸리 2차",
서울특별시 구로구,"서울특별시 구로구 디지털로33길 28, 우림이비지센터 1차",
서울특별시 구로구,"서울특별시 구로구 디지털로33길 55, 이엔씨벤쳐드림타워 2차",
서울특별시 구로구,"서울특별시 구로구 디지털로31길 19, 에이스테크노타워 2차",
서울특별시 구로구,"서울특별시 구로구 디지털로29길 38, 에이스테크노타워 3차",
서울특별시 구로구,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워 1차",
서울특별시 구로구,"서울특별시 구로구 디지털로32길 29, JNK 디지털타워",
서울특별시 구로구,"서울특별시 구로구 디지털로26길 123, 지플러스(G+)타워",
서울특별시 구로구,"서울특별시 구로구 새말로 97 북서쪽 철로변측 인도공간, 신도림테크노마트",
서울특별시 구로구,"서울특별시 구로구 새말로 117-21 신도림역 2번출구, 신도림역",
서울특별시 관악구,에이치플러스양지병원 옥상,양지병원
서울특별시 관악구,롯데백화점 관악점 건물뒷편,롯데백화점
서울특별시 관악구,관악구청 2층 테라스,서울특별시 관악구청
서울특별시 관악구,관악구청 9층 옥상,서울특별시 관악구청
서울특별시 관악구,관악구의회 6층 옥상,서울특별시 관악구청
서울특별시 관악구,관악구 보건소 6층 옥상,서울특별시 관악구청
서울특별시 관악구,싱글벙글센터 뒷편,서울특별시 관악구청
서울특별시 관악구,관악문화관도서관,관악문화관도서관
서울특별시 관악구,강남고려병원 주차장,강남고려병원
서울특별시 관악구,포도몰 옥상,포도몰관리단
서울특별시 관악구,krtc 옥상,krtc
서울특별시 관악구,르네상스쇼핑몰,르네상스쇼핑몰관리단
서울특별시 광진구,광진경찰서,
서울특별시 광진구,광진경찰서,
서울특별시 광진구,광진소방서,
서울특별시 광진구,광진소방서,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우체국,
서울특별시 광진구,광진구청,
서울특별시 광진구,광진구청,
서울특별시 광진구,광진구청,
